 ,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year
237,MRF,EQ,15-May-17,65455.15,65620,66081,65200.8,65700,65823.4,65731.76,10189,669740859.6,5384,3872,38,2017
238,MRF,EQ,16-May-17,65823.4,65990,66360,65500,65990,66093.35,65970.92,14100,930189902.7,9092,7083,50.23,2017
239,MRF,EQ,17-May-17,66093.35,66200,68270,65700,68170,68054.7,67426.08,28781,1940589887,15434,10735,37.3,2017
240,MRF,EQ,18-May-17,68054.7,67750,69188,66640.1,66856,66960.4,68054.14,21701,1476842941,11044,5378,24.78,2017
241,MRF,EQ,19-May-17,66960.4,67290,67699.9,64164.85,65951,65876.65,66169.46,15118,1000349962,9437,3116,20.61,2017
242,MRF,EQ,22-May-17,65876.65,66100.5,66799,64100,64180,64254.05,64973.41,13002,844784248.4,7031,3695,28.42,2017
243,MRF,EQ,23-May-17,64254.05,64480,64700,63000,63466.95,63976.15,63742.01,19116,1218492273,12042,5987,31.32,2017
244,MRF,EQ,24-May-17,63976.15,63900,63958.4,62400,62501,62519.7,62947.01,11106,699089527.9,6047,3233,29.11,2017
245,MRF,EQ,25-May-17,62519.7,62660,64200,62000,63900,63820,63051.67,20131,1269293198,11213,6650,33.03,2017
246,MRF,EQ,26-May-17,63820,64199.85,65689.95,63922.2,65350,65401.8,65060.48,15831,1029972439,9397,3809,24.06,2017
247,MRF,EQ,29-May-17,65401.8,65699,66370.05,64750,64800,64937.95,65328.42,10018,654460142,5737,1919,19.16,2017
248,MRF,EQ,30-May-17,64937.95,64938,65600,64561.25,65300.05,65398.1,65265.08,7921,516964733.3,3852,2581,32.58,2017
249,MRF,EQ,31-May-17,65398.1,65351.35,65881.95,65009,65620,65559.1,65532.38,6625,434152046.8,4028,1889,28.51,2017
250,MRF,EQ,01-Jun-17,65559.1,65619.5,68599,65619.5,68000,68217.3,67698.59,27596,1868210409,16590,7641,27.69,2017
251,MRF,EQ,02-Jun-17,68217.3,68450,68993.85,67500,67510.05,67715.95,68134.88,15738,1072306809,8152,4192,26.64,2017
252,MRF,EQ,05-Jun-17,67715.95,67910,68597.95,67900,68309.95,68334.25,68301.25,7478,510756723.5,4058,1905,25.47,2017
253,MRF,EQ,06-Jun-17,68334.25,68500,69240,67300,68600,68820.5,68336.23,15435,1054769697,8203,2696,17.47,2017
254,MRF,EQ,07-Jun-17,68820.5,68830.3,69347.25,68499,68970,68985.95,69010.33,10469,722469118.7,6067,2871,27.42,2017
255,MRF,EQ,08-Jun-17,68985.95,69000.1,71995,68700,71401.1,71129.65,70679.47,39075,2761800137,17653,13216,33.82,2017
256,MRF,EQ,09-Jun-17,71129.65,71404,73200,71251.1,72850,72901.25,72341.6,33946,2455708015,16663,9886,29.12,2017
257,MRF,EQ,12-Jun-17,72901.25,72901.25,74016.25,72245,73350,73331.6,73249.9,24677,1807587760,12506,6355,25.75,2017
258,MRF,EQ,13-Jun-17,73331.6,73401,74147.5,71555,71561,72369.3,73473.86,23590,1733248436,13027,6781,28.75,2017
259,MRF,EQ,14-Jun-17,72369.3,71980,71980,70880.05,71020,71102.15,71272.11,19049,1357662515,9868,5138,26.97,2017
260,MRF,EQ,15-Jun-17,71102.15,71235,73184.9,71198.9,73000,72847.45,72184.88,19573,1412874591,10553,7009,35.81,2017
261,MRF,EQ,16-Jun-17,72847.45,73148,73401,71707.5,71902,71978.1,72461.91,15153,1098015280,8558,4413,29.12,2017
262,MRF,EQ,19-Jun-17,71978.1,72499.9,72870,71560.2,71575.3,71760.2,71985.11,9973,717907512.8,5165,2586,25.93,2017
263,MRF,EQ,20-Jun-17,71760.2,71980,72800,71315.3,71750,71656.2,72137.93,11042,796547076.2,6486,2538,22.98,2017
264,MRF,EQ,21-Jun-17,71656.2,71850,72297.9,71324.55,71600,71709.1,71823.9,7666,550602036.4,4625,1507,19.66,2017
265,MRF,EQ,22-Jun-17,71709.1,72198.9,72495,70650.1,70841,70975.9,71730.37,10644,763498102.3,5800,3561,33.46,2017
266,MRF,EQ,23-Jun-17,70975.9,71500,71500,69596,69780.05,69935.8,70093.14,12316,863267119.8,6755,4267,34.65,2017
267,MRF,EQ,27-Jun-17,69935.8,69955,70400,68270,68301,68585.55,68896.82,10377,714942288.9,6059,2689,25.91,2017
268,MRF,EQ,28-Jun-17,68585.55,68585.55,69399,67801.5,69198,68915.8,68782.07,10368,713132535.2,6378,1860,17.94,2017
269,MRF,EQ,29-Jun-17,68915.8,69270,69846.75,68500,68575,68638.95,68990.65,15509,1069975969,7130,5533,35.68,2017
270,MRF,EQ,30-Jun-17,68638.95,68400,68750,67850.1,68458.5,68325.9,68246.95,10072,687383248.1,6411,3539,35.14,2017
271,MRF,EQ,03-Jul-17,68325.9,68458.5,71250,68201,71199,70859.5,69760.48,16735,1167441570,9160,4358,26.04,2017
272,MRF,EQ,04-Jul-17,70859.5,71260,71500,70029.7,70105,70350.3,70611.14,11002,776863773.7,6216,1442,13.11,2017
273,MRF,EQ,05-Jul-17,70350.3,70401,71120.35,70259.9,70601,70607.4,70771.83,8300,587406208.9,4305,1719,20.71,2017
274,MRF,EQ,06-Jul-17,70607.4,70984,71450,70005,70005.1,70270.65,70796.22,12201,863784690.5,7393,4211,34.51,2017
275,MRF,EQ,07-Jul-17,70270.65,70801.7,70801.7,69575,69839,69809.3,70241.61,10221,717939517.3,6597,3174,31.05,2017
276,MRF,EQ,10-Jul-17,69809.3,69900,70450,69403,69500,69600.25,69833.59,1539,107473889.1,832,565,36.71,2017
277,MRF,EQ,11-Jul-17,69600.25,69600,70079.85,68863.5,69200,69120.05,69495.02,9263,643732372,5746,3801,41.03,2017
278,MRF,EQ,12-Jul-17,69120.05,69201,70295,68800,70000,69976.6,69501.88,10291,715243857.5,5667,3192,31.02,2017
279,MRF,EQ,13-Jul-17,69976.6,70300,70399.95,69526,69765,69662.05,69885.15,6505,454602893,4234,1992,30.62,2017
280,MRF,EQ,14-Jul-17,69662.05,69999,70000,69150,69545,69516.25,69569.08,5398,375533912.7,3526,1642,30.42,2017
281,MRF,EQ,17-Jul-17,69516.25,69662,70274,69100,69911.05,70072.7,69674.36,8434,587633522.1,4062,3151,37.36,2017
282,MRF,EQ,18-Jul-17,70072.7,69400,70367.7,69400,69730,69930.45,69942.57,7118,497851207.4,3969,2344,32.93,2017
283,MRF,EQ,19-Jul-17,69930.45,69930.45,70769.95,69710,70230,70221.5,70178.5,16349,1147348328,8558,8062,49.31,2017
